d 的
lte 垅
hqoe 氦
yteu 塬
ccue 苌
dzea 趸
zzia 舯
zcoo 菹
yjeu 舁
pmei 骠
qcei 蛩
nzui 鼐
cmia 阊
gcei 蛄
jvae 腱
jzia 雎
hvei 翮
nqau 氖
tjo 铊
zyua 谵
ysia 鼹
yvei 鄞
syue 诜
xcia 苋
xvia 隰
mqua 昴
qcae 荨
hdia 溷
kbeu 髡
lbea 疠
cfia 抻
tveu 肽
kmia 阃
gkio 咣
jsei 馑
chui 爨
tpa 笤
pcea 芘
lleu 砻
zyoe 谘
zmua 驺
ytae 圯
txua 彖
djoe 镝
fse 砝
cmue 棰
vqee 犴
gcei 轱
sxuo 飧
yyei 酽
ytei 垭
ysia 鼬
ztei 埴
kgoo 髋
nzau 孥
srei 僳
qvua 朐
fhuo 燔
jjeu 镢
qlao 悛
sree 仨
pzei 罴
lfoa 捩
jwae 琚
vvia 腭
kmei 栲
lkeu 喱
zpio 隹
gsia 崮
qpuo 筌
svia 鳃
xzue 跣
gvei 膈
klia 愦
ccee 辏
fdua 淝
cgi 廛
gzei 罟
kcei 蚵
zvei 陬
lcoo 蒗
xsuo 崤
fpe 篚
bseu 畚
ktae 堀
hdia 洄
gno 妫
jlua 麂
xsua 矽
wmeu 杌
xzui 貅
qlua 劬
bpau 笾
cnuu 褫
jbai 疖
kgei 戡
ktoe 圹
lfue 旒
smui 榫
mla 勐
qmei 檠
bzea 跸
bvei 邴
bsoe 碚
dhei 黩
jcua 艽
pqu 狍
qsee 碛
scia 莳
xgua 廨
wjua 钨
lmei 栳
dgia 髑
fmei 棼
vmo 桉
jfue 挢
gcai 菰
svia 兕
mmiu 杪
qja 镪
tvou 郯
zrua 偬
zpei 籀
ljoo 鎏
hloo 逭
lyoi 谰
clia 遄
fyou 黻
gvoe 陔
ccaa 莼
hkeo 嚯
kjea 锴
yvei 郾
ttue 畋
ckuo 鬯
dmuo 籴
lcuo 蛉
jmua 桷
gcae 茛
ccea 虿
ncui 蘖
lkuo 呤
rga 鞣
ylao 怿
zmua 糌
zkui 唣
zyea 谮
qsae 屺
tseu 餮
fpee 缶
bfui 捭
kqa 暌
qxei 悫
qhoe 黥
qyei 醛
tnu 祧
wveu 鲔
bqe 狴
bcui 萆
jnou 鹣
kleu 刳
jgua 鞫
ymao 眙
lyuo 酹
hqei 獾
vvee 聱
vcue 莪
dsia 硐
xduo 溆
xheu 燹
tpe 箨
ghia 鬲
lyee 诔
sboo 痧
xjei 缬
xjei 缃
qmue 楸
msua 峁
myou 醚
jcou 蒹
jlue 麇
cnou 鹚
cmoe 榇
gjei 绀
lcue 蜊
hxai 隳
nvi 鲇
lmoe 檩
kpo 箜
lria 倮
qpee 箐
tmue 梃
txee 慝
sjia 缌
cti 埕
bcoe 蒡
xcei 蕈
bfia 捌
cmue 枨
jkea 喈
jvee 腈
hpui 篌
xcui 螅
wvi 隈
mcao 蟊
kze 跬
zrua 仉
zkuo 唑
zpua 笫
lmia 椤
tmai 粜
svou 鄯
slia 耜
qmeu 槭
svia 鲥
kxo 喾
ksua 尻
czei 舡
zvua 胝
ycuo 徭
ckia 嘬
pnui 裨
ftu 畈
jzoe 蹴
jnoi 裥
xdoa 浒
jsia 嘏
nvui 鲵
lbi 瘰
wbue 痿
wcoo 菀
qvee 鲭
wlee 怃
yxoe 窨
xcia 葸
yrea 伢
tjou 锑
smao 睃
pdee 匏
jdou 湔
jxee 恝
jmue 榘
fcei 芾
nto 垴
scou 蟮
dmao 骀
xyoe 醯
xlau 勰
ypoo 食
pvou 胼
cba 瘳
cnai 媸
jcei 芰
ggua 宄
hdei 洹
xja 解
jbeu 蠲
lti 垆
pti 鼙
mdua 浼
xtia 埙
mmue 敉
pzui 貔
gsu 鸹
gcuo 蛤
dvoo 腚
dvei 鲽
dbae 癜
bboa 毖
bjui 铂
nfaa 拗
hkoe 吭
xduo 浠
spio 筲
zzoe 趑
ysoe 饔
xjua 舄
ljia 缧
qpei 筇
vje 鏊
cmao 柽
cjeu 铖
phi 扁
fmo 枋
lmeu 粝
lmoe 椋
xcei 荤
xzuo 蹊
mjia 钼
xcaa 芗
fmee 麸
gtue 圪
dmei 椟
zvue 胙
dbei 疔
hceo 藿
lsua 硌
nvuo 鲶
smei 椹
qlou 慊
mru 仫
gpa 簋
lkei 嘞
csou 羼
ctu 坼
fvuo 郛
fvoe 鲂
xfo 揎
ybi 瘿
skee 嗉
pduo 殍
lfua 撸
jcoe 茭
hdie 滹
dkia 凼
bte 畀
lbo 瘘
pfue 旆
sdei 凇
rq 狨
cmou 糍
gdei 泔
hxo 鲎
gmuo 桧
mnei 姥
lpoe 簏
xria 儇
zmia 枳
glia 刿
vsa 屙
qcua 芪
nse 馕
jcau 茄
spaa 殳
smue 眚
scua 芟
qcei 萁
sta 埽
qhao 黢
lnie 鸬
fvui 鲋
bzua 趵
zqeu 昃
zpuu 笊
yseu 崦
cvou 塍
dlee 焘
lcoa 莨
crio 倘
xjei 绁
smoo 桫
sdue 潲
qyoo 褰
gmua 枸
hyoe 颃
fdee 沣
yjei 蓥
fcuo 莩
fvie 鲱
hyee 顸
hvua 郇
kbi 贶
qnae 犍
pzo 蹁
shei 秫
tmuu 柝
qgu 戗
hcei 蠖
gjui 缑
fcei 葑
dhui 煅
bpea 筚
yquo 狳
yruo 佾
ccua 龀
gveu 鳜
bloe 忭
lkua 咯
ljoe 缡
tqo 暾
ybei 痖
cfue 攒
xzoe 躞
myei 颟
smao 糁
rdeu 溽
dtae 埭
kjia 锞
ltuo 埒
lvea 鲢
gkae 哏
hmua 槲
dyio 谠
bqei 晡
jhae 车
ncua 茑
prea 仳
xque 曛
wnei 牾
sgio 鞘
yyou 说
sjia 锶
smao 毵
sdei 澌
dhui 石
qrua 仇
czie 踔
jkoe 哜
xvei 鲑
claa 剿
xmoo 楦
xsei 荥
cdoe 澶
glee 遘
cmuo 枞
mkee 呒
ymoe 阏
qcia 苘
dmoo 柁
xbui 髹
tsu 砼
qzei 跫
lnee 嫠
fmuo 桴
dqu 氡
cbou 瘥
gjei 镉
hsei 觳
jveo 郏
jceo 蛱
yyei 谳
ysea 砑
cbea 兹
zjue 缵
zcia 蕞
zmoa 槠
jgei 鞯
gqi 猓
ypei 筠
dpao 簦
mra 侔
xsue 饩
xcae 芎
xqua 獬
tge 庹
jqua 期
xsau 饧
sbia 疝
dpia 笪
dsoe 礅
hcei 蚶
hquo 晗
gjee 觏
gxia 贾
bmae 檗
nvei 腩
zyou 黹
zvea 肫
rcea 荛
mdoa 泌
ppei 笸
xceu 薤
qcui 蕉
jrui 僬
hcei 蟥
cwia 衰
qcoe 蛴
qmoo 柒
ptui 埤
mcua 茆
skoe 嗾
cyi 酲
yxuo 窬
fbi 痱
gqee 旰
jroe 僦
gfei 扛
scei 菘
whei 焐
yvoo 霪
nfei 攮
ntu 埝
mmao 瞀
nceu 萘
nleu 耨
rkei 喏
pvui 郫
sdui 溲
scei 葚
sdoo 渖
dvua 鲷
cmue 毳
sdei 涑
sdia 濉
sjua 铯
xdou 券
ssei 馓
scei 蔌
pyoa 谝
zkei 喋
fjii 幞
grei 合
ckei 喳
zsui 属
zjie 觜
zcua 螽
zvui 翟
llae 逯
kci 蒉
llia 悝
hfia 擐
fneu 祓
ycue 蛾
dgia 戥
zkia 嘬
bjoa 铋
lza 躐
rceu 蓐
qxo 綮
dmeu 驮
wz 艉
wmuo 阌
gdia 涡
qcua 芡
mcao 蝥
ldua 泺
bsai 岜
dcua 萏
lneu 鹩
jxo 窭
yrea 侥
jpia 笕
jnuo 袷
cbuo 痤
csuo 矬
fzui 跗
bcei 荸
nyei 颞
sciu 蛳
qsea 硗
ydei 殪
zkii 赜
smui 瞍
scea 厍
ddao 澄
cjio 铛
hdia 漶
jmii 槛
jbae 赆
cpui 彳
bseu 豳
xnui 鸺
wjoo 鋈
mze 貊
pnei 襻
rmia 枘
clei 憷
jvei 鄄
gyei 酤
ysue 饫
hkia 圜
zzou 罾
hcaa 荭
xdao 浚
jzai 孓
lbeu 疬
gcei 苷
fmei 榧
skie 嘘
xkia 呷
smei 眭
ttoe 疃
cyio 裳
ljua 镏
cjue 锸
vsue 岙
pvoe 膀
jhea 戋
zsou 嵫
yvuo 鳐
zyeu 诼
hcui 萑
bya 襞
pdaa 冯
fja 绋
mhia 熳
mqaa 犸
qmea 椠
xdee 契
qvui 亓
pcea 蚍
qdue 汔
mki 黾
clio 惝
jzau 跏
kjo 纩
zmoe 粢
yxuu 窳
zfou 撙
jdia 龟
bhea 秕
bkea 吡
bcua 龅
ykou 嗌
ycuo 艾
dsao 嶝
xseo 硖
ymee 闫
wdeu 洧
ycee 芫
xnee 禊
pfoe 掊
pyoe 醅
squo 猞
tvia 鳎
bjuu 钣
lque 猁
jqia 靓
hjoe 镐
tjia 钽
qhuo 炝
nta 坭
lzi 舻
mbe 瘼
wcia 辋
cjoe 幢
ysuo 嵛
yceu 螈
ynuo 鹆
wdei 浯
sjei 觫
ncea 蛲
pduo 湓
bnei 鹁
jpoa 皲
hcau 薅
yria 俣
zlei 忮
zrie 倬
jmui 桕
jjeo 铗
fcue 蘩
dcoo 菪
pdia 淠
mcia 甍
qyao 羟
stu 垧
xzei 舾
wvoo 脘
ysea 岈
xyuo 谖
smoa 骟
gtei 坩
bdui 濞
jtei 墼
ybii 劓
yfei 揠
zfei 揸
gmue 栝
bdau 夯
gyei 诖
czoe 艟
zmoo 术
rcia 蚺
mzei 艨
mzaa 乜
xsee 硎
hsee 砉
tcua 蜩
tcoe 螗
syoe 谇
mjao 鍪
lmie 栌
qcuo 芩
pria 俜
fbei 赙
dtea 垤
jkui 噍
jmea 楷
jqoe 獍
zdua 潴
gsue 屹
zvoe 鄣
lcua 轹
hjia 缳
dtie 坫
dcui 蔸
dria 侗
dlau 忉
bveu 鲅
szou 艏
qgue 鞒
lyua 尥
tjou 绨
xjei 觋
vkia 嚣
xsee 砉
ycia 蚰
njau 钕
qmuo 檎
qmua 麴
pwui 裒
btei 埔
qcou 蜣
ssae 矧
stui 埏
bhie 髟
czoe 躔
jdei 豇
gsuo 搿
zvaa 鲻
zyei 酎
zpee 箦
gjei 绠
btuo 坌
rcei 蝾
qdee 溱
qteu 畎
xvou 鲞
ydia 洇
tcau 龆
ptua 堋
ncau 艿
lhia 稆
ldai 泐
dhei 甙
fduo 滏
hjuo 锾
hbei 癀
htu 堠
zxuo 繇
zpue 笮
zsue 砟
zyei 诹
ztuo 畛
jcua 虮
jyie 醵
ccoe 蔟
dyua 羝
lteu 坜
nnia 嬲
mzai 艋
wlue 迕
syuo 谂
ploe 耪
sbei 贳
bxuo 窆
bgui 庳
zria 侧
kdu 夼
lkei 啉
jcuo 蚧
hjia 缋
mkia 嘿
gcia 蜾
gpua 笱
ycuo 蝓
yduo 瀹
zzue 舴
gsia 嘏
hxoa 黉
ykia 哕
jjoo 镓
kcue 蛞
cvia 鲳
gbei 疳
gjue 锆
qcae 芑
mcae 苠
klia 悃
mcei 蠓
xdui 洫
ytei 堙
wwui 璺
tjei 钍
qnua 鸲
smuo 毹
rye 颥
pnou 袢
cmoe 榱
zkia 咀
jmae 楗
gmio 桄
ggei 庋
jfeu 掎
hvui 鳇
ymaa 橼
yboe 癔
gcaa 轧
zcia 轵
qzua 将
gsua 岣
gjia 绲
lcou 蒌
gyee 酐
bwoe 瓿
vgee 廒
ltia 塄
llou 耧
wcua 芴
xmia 枵
yvea 邪
syei 酾
mcia 瞢
lsou 嵝
mcei 蠛
ftui 垡
cvee 腠
lcoe 蓠
gti 埚
jgei 廑
kvuo 郐
ctua 坻
dsoe 碲
cqui 氚
mlea 劢
mdua 泖
nvia 陧
tnia 裼
xnia 裼
xnoi 鹇
xcuu 蓰
xpia 囟
zbua 瘵
ybui 瘐
yrei 龠
yjuo 铫
nxe 恧
njae 铌
sjia 缲
qcou 蝤
rdau 洳
nqai 狃
pveo 鲆
ncei 蝻
sbia 单
dqui 氘
lmeo 檑
kgi 髁
hkia 哕
lvei 鲡
fkee 呋
zmia 查
bvei 鳔
qmia 桤
nxai 衄
lvoe 臁
skoe 唼
rve 朊
qkee 嗪
qqua 犰
qmia 氍
xmai 糈
xjoe 镟
tria 氽
zzia 舳
yzou 舣
zzue 躜
cmei 楂
zzia 甾
yceu 厣
yqei 氩
vya 诶
yhua 黟
tyeu 酞
tpo 鼗
jgia 强
pkuu 哌
lbei 瘌
cbia 冁
vjei 铒
jjou 锩
gvei 臌
gnue 鹄
gkea 匦
hho 戽
ksei 岢
zfia 撮
ccei 螬
sba 瘙
xxoe 窨
pjau 铍
pfae 擗
mjei 镆
mkee 唛
nrae 伲
bpia 箅
bgei 鞴
djue 缍
jlao 刭
jzae 跽
zvuo 胗
hcei 蕻
gvuu 胍
ggee 鞲
jguo 骱
kmia 骒
hcei 蟪
clou 鹾
cyue 酢
bvie 邶
xdei 渫
wdou 沩
two 瑭
stia 埘
mti 墁
lpei 篥
bgo 髌
dxo 憝
dkea 囤
gcue 虼
zsee 碡
ycua 莸
sfuu 折
ycaa 轧
gbeu 馘
jleu 剞
jmae 椐
kjei 缂
kcai 芤
pfuu 扳
kkeu 喹
lhua 熘
lhoa 稂
bdeu 疒
qyei 謦
thao 炱
tvao 鲐
wsei 鼯
tvua 鲦
xqia 氙
hjei 巷
wdia 涠
sfie 摅
vkuo 区
vneu 鸸
cbia 单
gqou 炅
jqou 炅
zmia 驵
wfuo 於
yzeu 罨
jleu 劂
jyou 谫
klia 剀
jbue 鬏
jmia 枧
bwei 甏
pwa 甓
pvui 陴
pceu 苤
tyoe 醣
lveo 酃
scuo 荽
sjio 绱
lvei 鲮
sdeu 泷
pgua 庀
xjei 镡
csea 砗
csuo 汆
dkoo 啶
dfei 揲
fkee 唪
fcua 菔
kna 裉
hkoe 咳
ljoi 镧
kduo 浍
hhei 煳
gkia 呙
jmae 糨
kceu 蝰
jdua 洚
jbae 瘕
ccuo 苁
cvuo 脞
chao 黪
lnia 嫘
lvou 膦
mgua 鞔
pvuo 脬
pcei 蟛
ppei 筢
sjui 锼
ttua 堍
tyuo 酴
znoe 嫜
zmua 橥
zfae 搌
xxua 穸
xyai 醑
wte 圬
ycau 轺
ycoo 菀
rceo 薷
bdia 瀑
skou 嗍
jhuo 爝
mjia 镘
mvou 脒
msie 芈
tdia 漯
cmoo 檫
bcoe 苄
kmoe 闶
hduo 浍
gsoe 磙
hmui 糇
jmea 柜
hsei 岵
jfou 搛
bvoa 鳊
bhoa 煸
yvie 阽
tjoo 钭
djoe 镦
fsua 砜
mkoo 嘧
mnei 鹋
mdei 漭
dpao 鸟
qgoo 髂
rvu 肜
tcia 茼
wvee 肟
xpue 筅
yjea 铘
zdia 浞
zxea 窀
zvei 鄹
ywuo 珧
yjaa 钇
ymua 眢
yyai 酏
tfee 掭
xsui 鼷
wtee 圩
nvae 脲
gmui 槔
dvea 胨
dgua 骶
bjeu 锛
cbee 瘛
cjee 帱
hkeu 咴
jzee 趼
hjuu 绗
jvii 鲣
jmou 桊
lzua 跞
cnei 褚
ccao 蛏
bceu 茇
vteu 埯
dbo 瘅
vcia 蒽
fsuo 鼢
pji 钋
nvia 肭
lsoe 砬
qcia 蠼
rjau 铷
tcia 萜
ycoo 蛇
xque 獯
yqao 狁
zvei 鲰
djue 铤
svuo 腧
mcao 蛑
qkoa 吣
ljai 钌
vju 锇
dpou 簖
crua 傺
ktia 垲
kjoe 钪
lceu 苈
gcuo 芥
gsoe 崞
lzei 罱
kjei 钶
cmua 眵
csei 馇
vja 锕
dcei 芏
gnua 袼
mmaa 杩
mjoi 钔
lnao 鹨
lbai 癃
qjae 锓
ybia 卣
zkei 哳
yvoe 鳙
ycaa 蚴
tcea 荑
qbei 赇
qjei 銎
qvua 肷
mzei 貘
msei 硭
ljuo 锊
kqei 氪
tpea 乇
syao 羧
qrau 伽
dpui 篼
sfou 掸
dsia 沓
cjoo 镲
jvee 肼
jzae 踺
hdea 冱
hjuo 铪
glia 哿
hvoe 胲
hnei 鹱
jcia 蕺
jsei 礓
cfuu 搋
dtia 垌
ttia 垌
dgue 瓞
dkua 哚
fjae 镄
scou 蒴
wcoe 蕹
svia 胂
sdei 滠
xquo 猃
lmua 氇
ljia 镙
qcee 葜
pmou 氆
qcuo 辁
qcoe 荠
pcui 蜱
ycou 蛘
ykae 吲
sdia 召
cmui 椎
yjia 铟
xcio 蛸
qcei 蜞
mjai 镅
wsue 硪
fsa 砩
dvei 耵
cwui 璁
zcie 茈
cqei 猹
sfao 掺
tjei 镡
czei 艚
bnui 鹎
bdue 滗
kmeu 眍
kvie 胩
jwui 敫
jnae 犍
hvoo 鲩
qdia 龟
bcei 菝
ccie 茈
fgui 艴
fdou 瀵
pxu 繁
czou 蹲
hyea 戏
xcoe 莘
sjuu 钐
yvua 陶
jfae 捃
mcao 荬
lmuo 柃
yjua 铅
sjoe 铈
wlia 遗
zlue 迮
xsoo 碹
pkei 嘌
scio 蛸
qkee 圊
bhua 炮
pla 耙
ssia 尿
tjeo 铽
zpae 氏
zvee 鲭
xmei 粞
thae 煺
qgeu 戌
hcei 虾
yjeu 铕
vceu 苊
fhuo 稃
jhii 革
cjoo 镩
bjui 缏
byei 醭
gnue 牿
hguu 骺
hfeo 攉
xyei 颉
jjae 锔
gzo 矜
lvia 鳢
gya 颈
qcea 苣
jlee 耩
hhuo 烀
hjou 钬
qjia 缉
hhuo 焓
ccoe 茺
clau 怊
cmee 楱
dkeu 呔
dsea 岽
tria 佃
gpei 筻
pkeu 否
fzuo 蹯
xxoa 泶
xmae 榍
xcuo 莶
tjou 锬
zhai 屯
tdia 溻
ycae 蔚
nsui 硇
ghae 炔
ypoo 箢
xkei 叶
ygou 粥
sdei 殖
jsae 且
qlui 劁
bbui 魄
pjo 锫
mta 坶
tcue 莛
tcoe 葶
dtei 塔
zluo 忪
mvua 无
xvei 霰
fjoe 钫
vrei 佴
dsea 砘
bfua 飑
vko 嗌
bbee 癍
hbui 瘊
hjua 锪
lra 仂
xvei 腊
ljeo 铼
jjae 觖
kpei 筘
kjoi 锎
qheu 稽
ljei 铑
ymua 栎
lcuo 蔹
jga 弪
xkie 噱
qzii 亟
ghou 夹
zjui 缴
gyuo 颌
vcoe 广
gvia 鲴
bjae 鐾
gdae 澉
djia 铞
sfei 揲
djia 锝
zfei 挝
wbe 痦
yjoe 镱
sheu 炻
mloe 耱
ljua 镥
pnoa 犏
pcoo 蒎
njei 锘
chia 种
ysei 崾
cdao 涌
xboe 痃
zvoo 膣
zla 耔
wcia 蔓
qgao 巯
gjuo 纶
pjei 钷
njuo 镎
kcei 莰
ljoe 锍
xcua 蟓
scui 螋
ycae 尉
wcia 軎
sdau 汤
zyia 识
svuo 脎
qsoo 磲
wveu 阢
vveu 鲕
vsei 砹
vkou 吖
vfo 揞
bsoa 碥
bzea 舭
zkei 嘲
gsua 硌
hkei 嚆
kkei 呵
jcoo 茳
jsoe 嵴
zsua 祭
kyia 醌
jvei 鲒
klia 悝
hdia 溃
hfa 撖
gtei 塥
cliu 耖
vhu 厂
ccee 蝽
csei 礤
vjoe 锿
ggau 戤
gja 钆
fvue 鳆
zxoe 戆
djue 铥
ycua 茚
mha 万
djuo 铫
wvia 腽
mqai 猸
tyia 羰
jhii 其
pmia 榀
zbue 痄
zboe 疰
zbei 齄
znou 禚
zbeu 瘃
tbui 魄
nnao 胬
mmao 毪
mvue 鳘
pjou 镨
zmei 椹
tcau 苕
nvoo 聍
mnai 鹛
ssao 磉
xcei 菥
xcei 葙
zhii 丁
pcuo 莩
pzua 般
bjeu 钸
pkea 吡
djee 帱
cceu 蒇
cjei 镡
lhia 鬲
ykuo 谷
jcei 虹
jvoe 鲚
ljei 铹
jnia 犋
jnui 牮
ldei 漤
gbia 句
krie 佧
hluo 耠
gjei 红
hlei 劐
zcei 蜡
bbei 瘭
fvei 鲼
svao 鳋
dbou 赕
qjee 锖
qbua 鼽
pjii 镤
tlio 耥
pcei 螵
zdie 浈
cvoe 膪
cmae 骣
dsia 屌
dgii 弔
dra 伄
dmei 驔
dsei 磹
tsei 磹
dwoo 琔
dtae 壂
dmou 橂
ddae 汈
dlau 刟
dcau 虭
ddua 奝
dgoe 弴
dpua 彫
dcau 蛁
dwua 琱
dvoe 鯳
dsia 埊
djeu 釱
dnoe 媂
dcui 菂
dreu 僀
dnoe 禘
dvoe 腣
dluu 逓
dro 偙
dwou 啇
dmei 梊
dho 焍
thou 焍
ymea 眱
dnou 祶
dqua 旳
dmeu 杕
dwua 玓
dlua 怟
dmeu 枤
dcae 苐
drou 俤
dceu 蔕
zcao 蝃
dcao 蝃
zleu 遰
dleu 遰
dxeu 慸
dwoe 甋
djei 鉪
dmua 馰
dtoe 墑
dtai 墬
ztai 墬
dfeu 摕
dseu 嶳
dzia 踶
dceu 螮
dqie 敁
dmei 槙
dbei 瘨
drei 傎
dcei 厧
tsei 嵮
dyua 顚
dzei 蹎
dsua 巓
dfei 攧
dvua 阺
dkua 呧
dcua 厎
zcua 厎
dnao 鸐
dcoo 蔋
dcoe 蔐
dyia 頔
dvua 魡
dpeu 篴
dkao 嚁
dcoe 藡
dsoe 豴
dnua 牴
dcua 軧
dvoo 聜
tbae 弚
dbae 弚
dsei 坔
dfoe 掋
dcoe 菧
djua 觝
dfui 拞
dgua 弤
dvia 隄
tvia 隄
dmao 櫈
drea 仾
ttia 堤
dzua 趆
dsia 磾
cjia 鍉
djia 鍉
sjia 鍉
dgia 鞮
dcia 苖
bvua 肑
dmua 梑
dgua 靮
dkua 唙
dlia 廸
dbai 髢
dkuu 嘚
dcei 徳
dxoe 恴
ddia 淂
dxeu 悳
dxei 惪
dvei 翿
dsei 軇
dwei 瓙
dcou 衜
dmou 檤
dcaa 衟
dfea 捯
dvei 隯
dtei 壔
dsei 嶹
dfei 擣
dcea 菿
dmea 椡
dhuo 稲
dvua 翢
tvua 翢
dkou 噵
ddua 奃
ccua 彽
dcua 彽
dnu 袛
dkui 啲
dtoo 埞
drao 僜
dvao 隥
dtao 墱
dzao 艠
djao 覴
dwa 璒
dlao 竳
dnao 嬁
ddua 豋
djia 鍀
bfeu 揼
dfue 扥
tfue 扥
dfea 扽
dzau 舠
zjau 釖
djau 釖
dvau 鱽
dvee 陦
dgia 宲
cnua 禂
dnua 禂
dvui 隝
dsui 嶋
dsui 嶌
dmui 槝
mmau 朷
dsau 屶
llau 忉
dmoe 瞊
dzoo 趤
ddia 璗
dmoo 盪
dsio 礑
dpoo 簜
dmei 蘯
dmio 闣
ynia 婸
dwio 瓽
dlia 逿
dveu 雼
xdua 潒
ddua 潒
dtie 圵
dtio 垱
dfio 攩
ddio 灙
dmio 欓
dyio 譡
dlua 憺
dzio 艡
dcio 蟷
dpio 筜
dwio 珰
drio 儅
dkio 噹
ddio 澢
dyie 頕
dkua 啗
dmia 柦
dyia 疍
yyai 訑
tyai 訑
dkei 啿
dnei 禫
tne 禫
dsou 餤
tsou 餤
dmui 駳
dnia 鴠
dwua 甔
dbua 癚
dkia 嚪
dbei 贉
tbe 贉
dvoo 霮
dsae 饏
dvou 腅
dcui 蜑
djia 觛
dxua 窞
dria 僤
dkae 噉
dboa 髧
dkei 嘾
dkia 匰
dnei 媅
dloe 勯
zloe 勯
dnoo 褝
cnia 襌
dnia 襌
dvua 聸
croa 伔
zroa 伔
dlua 刐
dqia 狚
dwua 玬
dwoa 瓭
djoa 紞
dnoa 衴
dwia 亶
dmoa 馾
djoa 帎
dsoa 沊
ddia 泹
ddeu 澸
zhoa 黕
dhoa 黕
dnoa 妉
dsua 砃
dvia 耼
dxi 単
dsoa 躭
zyoa 酖
dyoa 酖
dcui 蚮
dceu 軚
dzeu 艜
dpia 簤
dzeu 蹛
ddei 瀻
dvee 霴
dnei 襶
dvou 黱
djei 帯
dcao 軩
dwee 瑇
dgeu 廗
dvao 叇
dqa 曃
djao 緿
dvui 鮘
dnui 鴏
dqia 獃
tlei 懛
vhua 歹
ddeu 汏
tdeu 汏
dceu 轪
drei 侢
ftui 垈
tree 傣
djui 帒
dmui 柋
dkei 咑
thuo 大
ddeu 亣
dzi 眔
dmei 橽
dzeu 跶
tzeu 跶
djei 鐽
tleo 龖
tleo 龘
dlei 逹
tdei 溚
dyia 詚
dhei 燵
djei 繨
dcei 蟽
tjia 鎉
djia 鎉
dtuo 畣
zwuo 夎
cwuo 夎
ccuo 莝
ccia 莡
cwei 蓌
clei 逪
xmei 棤
dfue 撘
djei 鎝
tjei 鎝
tleu 达
dleu 迏
dleu 迖
tleu 迖
dkia 呾
jkia 呾
dteu 垯
dhia 炟
ddou 羍
tdou 羍
dcuo 荅
dceu 荙
zlei 剳
dbei 匒
cluo 剉
clei 剒
ccou 齹
ccou 蒫
ccie 蔖
cmuo 睉
csou 嵳
cyou 醝
cgou 髊
chia 虘
cwou 瑳
clei 遳
zjoe 綷
cjoe 綷
ckei 吋
cmei 籿
ctou 墫
ztou 墫
cdou 澊
clou 竴
cfeu 拵
tfeu 拵
qzao 踆
czao 踆
clei 刌
cmia 槯
cqia 獕
csia 磪
chia 熶
cjia 鏙
czoo 乼
cdia 漼
czui 趡
cbia 皠
zrua 伜
clua 忰
cbua 疩
croe 倅
zroe 倅
cjua 紣
cvua 翆
cvua 脃
cho 焠
ckea 啛
cvei 膵
cvue 膬
cxue 竁
cnia 襊
zyoe 顇
cyoe 顇
cvao 臎
cvea 邨
csia 嗭
cdii 灇
cmii 欉
chii 爜
clui 憁
cyui 謥
cnua 觕
cdoe 麁
cluo 麄
cloe 麤
cnou 媨
cbei 瘄
cboe 瘯
cyei 誎
czia 趗
ckoe 噈
zkoe 噈
cloe 憱
czie 踧
dzie 踧
tsuo 汆
jzoe 蹵
czoe 蹵
cyeu 顣
qyeu 顣
cjeu 縬
ctuo 鼀
cdeu 殩
cpia 篹
zpia 篹
cpia 簒
cfee 攅
cmee 櫕
csue 巑
cmue 欑
zmue 欑
chue 穳
cdia 凗
cjoe 缞
sjoe 缞
ctia 墔
zsia 嶉
clia 慛
zjua 緫
cjua 緫
cvua 聦
cmuu 瞛
cpuu 篵
cquu 暰
cmui 樬
chui 熜
zhui 熜
cwuu 瑽
clei 慒
cduu 漎
cdia 潀
zdia 潀
zdia 潈
cdui 潨
cyoo 誴
cboo 賨
cboo 賩
cmei 樷
ccei 藂
ccou 従
cnoo 婃
czoo 孮
ccoo 徖
cloo 悰
ccui 蟌
cjei 繱
cjuu 鏦
cmua 騘
cxuo 忩
cxui 悤
cmuo 棇
chuo 焧
cmua 楤
cdui 漗
cvuo 聡
ccua 茐
cxua 怱
zruo 从
sbia 赐
ccou 螆
croe 佽
cxao 辝
cnou 鷀
cleo 刾
cgie 庛
ccei 茦
cmoe 栨
jmoe 栨
ccei 莿
cjoe 絘
ccei 蛓
bhoe 穮
bloo 麃
ploo 麃
bhei 熛
byee 諘
bnei 褾
bjee 錶
bmei 檦
bree 俵
bfei 摽
pfei 摽
bfeu 飇
bfou 飈
bfou 飊
bkoa 咇
bcia 莂
bceu 蛂
bcou 徶
bnou 襒
bcou 蟞
bmou 鼈
bmei 虌
bdou 龞
bmaa 骉
bmua 杓
broe 儦
bfou 颷
bdoe 瀌
bcoe 藨
pcoe 藨
byei 謤
bhui 爂
bvoe 臕
bbeu 贆
bloa 惼
xxie 辪
pdie 淲
bdie 淲
hdie 淲
bqeu 猋
bvee 脿
btei 墂
bjei 幖
bdie 滮
bcei 蔈
pcei 蔈
bhoa 稨
cmuo 釆
bmuo 釆
bsao 峅
bfoe 抃
bduu 汳
bmoa 糄
pnao 鴘
bnao 鴘
bcue 藊
ploa 遍
bmao 閞
bxoe 辡
bzoa 艑
pveu 頨
yveu 頨
bxau 辧
bwoe 変
bqa 昪
bxia 覍
bcoa 徧
bfoa 揙
pjui 缏
